"";"LocationID";"SessionID";"GroupID";"RecordID";"Language";"Lockdown";"start_time";"end_time";"latitude";"longitude";"Traffic";"Other";"Human";"Natural";"ISOPleasant";"ISOEventful";"pleasant";"chaotic";"vibrant";"uneventful";"calm";"annoying";"eventful";"monotonous";"Overall";"Appropriate";"loud";"sss04";"sss05";"who01";"who02";"who03";"who04";"who05";"WHO_Sum";"Age";"Gender";"occ00___Employed";"occ00___Unemployed";"occ00___Retired";"occ00___Student";"occ00___Other";"occ00___RatherNotSay";"occ00_other";"Occupation";"edu00";"eth00";"eth00_other";"misc00";"misc03";"misc03_other";"misc04";"misc01";"use00";"uni00";"res00___1";"res00___2";"res00___3";"res00___4";"res00___5";"res02";"paper";"RecordingLength";"Loudness_N5(soneGF)";"N10_N90(soneGF)";"Sharpness_S(acum)";"Rough_HM_R(asper)";"Rough_HM_Avg,arith(asper)";"FS_Avg,arith(vacil)";"I_HM_Avg,arith(iu)";"Ton_HM_Avg,arith(tuHMS)";"LZeq_L(dB(SPL))";"LAeq_L(A)(dB(SPL))";"LA10_LA90(dB(SPL))";"LCeq_LAeq(dB(SPL))";"LC10_LC90(dB(SPL))";"RA_2D_cp(cPa)";"PA(Zwicker)"
"307";"MarchmontGarden";"MarchmontGarden1";"MC112";281;"English";0;"21.03.2019 12:19";"21.03.2019 12:31";51525111;-124866;3;3;4;3;"-0,1768";"0,0732";3;3;3;3;2;4;3;3;3;4;3;5;5;3;3;2;2;4;56;37;"Male";1;0;0;0;0;0;NA;"Employed";5;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;"Walking the dog; couple of guys sitting on the bench nearnby talking very loud";0;4702;188;"7,92";195;"0,0297";"0,0297";"0,0501";"0,438";"0,266";7465;6237;"9,73";"8,11";"5,2";141;2025334048
"308";"MarchmontGarden";"MarchmontGarden1";"MC114";282;"English";0;"21.03.2019 12:32";"21.03.2019 12:39";51525111;-124866;3;4;4;2;"-0,5";"0,1464";2;4;2;3;1;4;3;3;4;4;2;4;4;1;1;2;1;1;24;51;"Male";1;0;0;0;0;0;NA;"Employed";5;1;NA;"Kent";NA;NA;NA;NA;4;1;1;1;0;0;0;NA;0;4241;141;"3,07";18;"0,028";"0,028";"0,0149";"0,391";"0,0859";6932;5763;"5,28";"8,51";"2,83";118;1444388849
"309";"MarchmontGarden";"MarchmontGarden1";"MC115";283;"English";0;"21.03.2019 12:30";"21.03.2019 12:40";51525111;-124866;3;2;3;2;"0";"0";3;3;3;3;3;3;3;3;4;4;3;3;3;2;2;2;2;2;40;NA;"Female";1;0;0;0;0;0;NA;"Employed";7;5;NA;"Prefer not to say";NA;NA;NA;"No";4;1;1;1;0;0;0;"Estimated Start Time";1;3695;143;"4,22";176;"0,0287";"0,0287";"0,00972";"0,381";"0,103";7284;5771;"5,42";"9,77";"6,1";118;1453238242
"310";"MarchmontGarden";"MarchmontGarden1";"MC116";285;"English";0;"21.03.2019 12:31";"21.03.2019 12:47";51525111;-124866;3;1;4;1;"-0,1339";"0,0126";2;3;3;3;2;4;1;1;4;4;2;4;4;0;3;1;0;2;24;28;"Male";1;0;0;0;0;0;NA;"Employed";5;1;NA;NA;NA;NA;NA;NA;4;2;1;1;0;0;0;NA;1;3209;176;"6,37";182;"0,0361";"0,0361";"0,0644";"0,455";"0,161";7789;6057;"10,59";"11,04";"8,45";144;1832851321
"311";"MarchmontGarden";"MarchmontGarden1";"MC116";284;"English";0;"21.03.2019 12:31";"21.03.2019 12:47";51525111;-124866;4;4;4;2;"-0,4571";"0,6464";1;5;4;2;1;4;4;2;1;2;4;2;2;2;0;2;1;0;20;27;"Male";0;0;0;0;0;0;NA;"RatherNotSay";NA;NA;NA;NA;NA;NA;NA;NA;4;2;1;1;0;0;0;NA;0;3209;176;"6,37";182;"0,0361";"0,0361";"0,0644";"0,455";"0,161";7789;6057;"10,59";"11,04";"8,45";144;1832851321
"312";"MarchmontGarden";"MarchmontGarden1";"MC117";286;"English";0;"21.03.2019 12:46";"21.03.2019 12:56";51525111;-124866;2;1;4;1;"0,6339";"-0,0732";5;2;3;3;4;1;3;2;4;4;3;4;5;3;1;3;1;4;48;21;"Female";0;0;0;1;0;0;NA;"Student";2;1;NA;"UCL";NA;NA;NA;NA;2;1;1;1;0;0;0;"Estimated Start Time";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"313";"MarchmontGarden";"MarchmontGarden1";"MC118";289;"English";0;"21.03.2019 12:40";"21.03.2019 12:56";51525111;-124866;3;4;3;2;"0,1036";"0,7071";4;3;5;1;1;3;5;3;4;2;3;4;3;1;0;1;1;2;20;30;"Female";0;0;0;1;0;0;NA;"Student";2;3;NA;NA;NA;NA;NA;NA;4;3;1;1;0;0;0;NA;1;3554;156;"5,48";187;"0,032";"0,032";"0,0143";"0,451";"0,116";7075;5755;"7,13";"9,52";"3,49";12;1631701488
"314";"MarchmontGarden";"MarchmontGarden1";"MC118";287;"English";0;"21.03.2019 12:47";"21.03.2019 12:56";51525111;-124866;3;3;3;3;"0,1464";"0";4;3;4;4;4;4;4;3;3;3;3;4;4;3;3;3;3;3;60;18;"Female";1;0;0;0;0;0;NA;"Employed";1;4;NA;"Westminster";NA;NA;NA;"No";4;3;1;1;0;0;0;"A group of ppl passed by, scooter started in the backgroung";0;3554;156;"5,48";187;"0,032";"0,032";"0,0143";"0,451";"0,116";7075;5755;"7,13";"9,52";"3,49";12;1631701488
"315";"MarchmontGarden";"MarchmontGarden1";"MC118";288;"English";0;"21.03.2019 12:40";"21.03.2019 12:56";51525111;-124866;5;3;4;3;"0";"0,25";3;4;4;2;3;3;3;3;3;3;3;5;4;3;2;3;4;4;64;18;"Female";0;0;0;1;0;0;NA;"Student";2;3;NA;NA;NA;NA;NA;NA;4;3;1;1;0;0;0;NA;0;3554;156;"5,48";187;"0,032";"0,032";"0,0143";"0,451";"0,116";7075;5755;"7,13";"9,52";"3,49";12;1631701488
"316";"MarchmontGarden";"MarchmontGarden1";"MC119";291;"English";0;"21.03.2019 12:58";"21.03.2019 13:02";51525111;-124866;2;1;3;2;"0,2803";"-0,0732";4;3;3;3;4;2;3;3;4;4;2;4;4;3;2;3;2;3;52;19;"Female";0;0;0;1;0;0;NA;"Student";2;1;NA;"UCL";NA;NA;NA;NA;4;2;1;1;0;0;0;NA;1;30;141;"4,5";178;"0,0279";"0,0279";"0,0144";"0,487";"0,106";73;5628;"6,27";"10,98";"4,76";122;1438097778
"317";"MarchmontGarden";"MarchmontGarden1";"MC119";290;"English";0;"21.03.2019 12:58";"21.03.2019 13:02";51525111;-124866;3;2;3;3;"0,4571";"-0,3536";4;2;3;4;4;1;2;3;3;3;3;5;3;3;3;2;4;4;64;18;"Female";0;0;0;1;0;0;NA;"Student";2;1;NA;"UCL";NA;NA;NA;"Changes quite regularly- I walk here everyday";4;2;1;1;0;0;0;NA;1;30;141;"4,5";178;"0,0279";"0,0279";"0,0144";"0,487";"0,106";73;5628;"6,27";"10,98";"4,76";122;1438097778
"318";"MarchmontGarden";"MarchmontGarden1";"MC120";293;"English";0;"21.03.2019 12:57";"21.03.2019 13:09";51525111;-124866;2;3;2;4;"1";"-0,3107";5;1;5;4;5;1;1;1;5;5;3;5;5;4;4;4;4;4;80;23;"Female";0;0;0;1;0;0;NA;"Student";5;3;NA;"Kings college london";NA;NA;NA;NA;4;1;1;1;0;0;0;NA;0;3153;129;"3,93";2;"0,0275";"0,0275";"0,0744";"0,478";"0,384";68;5705;"7,21";"7,42";"4,28";127;1409197886
"319";"MarchmontGarden";"MarchmontGarden1";"MC120";292;"English";0;"21.03.2019 13:09";"21.03.2019 13:14";51525111;-124866;4;5;3;2;"1";"0,4142";5;1;5;1;5;1;5;1;5;5;2;4;4;4;4;0;4;4;64;24;"Male";0;0;0;1;0;0;NA;"Student";5;3;NA;NA;NA;NA;NA;NA;3;2;1;1;0;0;0;NA;0;3153;129;"3,93";2;"0,0275";"0,0275";"0,0744";"0,478";"0,384";68;5705;"7,21";"7,42";"4,28";127;1409197886
"320";"MarchmontGarden";"MarchmontGarden1";"MC121";295;"English";0;"21.03.2019 13:05";"21.03.2019 13:15";51525111;-124866;2;1;2;3;"0,9268";"0,0303";5;1;4;2;5;1;3;1;4;4;2;3;3;4;4;4;5;5;88;NA;"Female";0;0;1;0;0;0;NA;"Retired";3;1;NA;NA;NA;NA;NA;NA;3;2;1;1;0;0;0;"Estimated Start Time";1;40;119;"3,03";207;"0,0249";"0,0249";"0,028";"0,498";"0,283";7192;5487;"4,54";"10,53";"6,14";117;1320071199
"321";"MarchmontGarden";"MarchmontGarden1";"MC121";294;"English";0;"21.03.2019 13:05";"21.03.2019 13:15";51525111;-124866;2;1;3;3;"0,7071";"0,0607";5;1;3;2;4;1;4;2;5;5;2;4;4;4;4;4;4;4;80;NA;"Male";0;0;1;0;0;0;NA;"Retired";7;1;NA;NA;NA;NA;NA;NA;3;2;1;1;0;0;0;"Estimated Start Time";1;40;119;"3,03";207;"0,0249";"0,0249";"0,028";"0,498";"0,283";7192;5487;"4,54";"10,53";"6,14";117;1320071199
"322";"MarchmontGarden";"MarchmontGarden1";"MC122";296;"English";0;"21.03.2019 13:04";"21.03.2019 13:14";51525111;-124866;2;1;3;5;"0,5732";"0,0303";4;1;4;1;4;2;2;2;5;4;3;4;4;4;4;4;4;4;80;21;"Female";0;0;0;1;0;0;NA;"Student";5;3;NA;"UCL";NA;NA;NA;NA;3;2;1;1;0;0;0;"Estimated Start Time";1;4267;128;"3,38";163;"0,0283";"0,0283";"0,0157";"0,392";"0,205";7431;5677;"5,49";"12,23";"3,3";124;1303409503
"323";"MarchmontGarden";"MarchmontGarden1";"MC123";297;"English";0;"21.03.2019 13:16";"21.03.2019 13:26";51525111;-124866;5;5;3;3;"0,8536";"-0,3536";5;1;3;3;5;1;1;1;5;5;5;5;5;5;5;5;5;5;100;69;"Male";0;0;1;0;0;0;NA;"Retired";7;1;NA;"Teaching at open university";NA;NA;NA;NA;4;1;1;1;0;0;0;"Estimated Start Time";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"324";"MarchmontGarden";"MarchmontGarden1";"MC127";298;"English";0;"21.03.2019 13:16";"21.03.2019 13:26";51525111;-124866;2;2;3;4;"0,2678";"-0,1036";5;5;4;3;4;1;2;5;4;5;2;5;4;4;4;3;3;4;72;42;"Male";0;0;0;0;1;0;"Artist";"Other";7;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;"Estimated Start Time";1;4855;138;"4,76";168;"0,03";"0,03";"0,0457";"0,406";"0,13";6905;5795;"7,69";"9,66";"8,2";114;1418198932
"325";"MarchmontGarden";"MarchmontGarden1";"MC128";299;"English";0;"21.03.2019 13:21";"21.03.2019 13:31";51525111;-124866;3;3;3;4;"0,6339";"-0,0303";5;3;5;3;4;1;2;3;4;5;3;3;4;3;1;3;3;4;56;80;"Male";0;0;1;0;0;0;NA;"Retired";3;7;"Jewish immigrant grandparents";NA;NA;NA;NA;NA;4;1;1;1;0;0;0;"Estimated Start Time";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"326";"MarchmontGarden";"MarchmontGarden1";"MC129";300;"English";0;"21.03.2019 13:21";"21.03.2019 13:31";51525111;-124866;2;4;3;2;"0,2197";"-0,2197";3;1;2;3;4;3;3;2;3;4;2;3;3;1;1;0;0;1;12;32;"Female";1;0;0;0;0;0;NA;"Employed";5;1;NA;"Nottingham";NA;NA;NA;"Please consider middle of London";4;1;1;1;0;0;0;"Estimated Start Time";1;3486;105;"2,65";165;"0,0249";"0,0249";"0,0078";"0,401";"0,0665";6982;5309;"5,57";"12,94";"6,12";112;1066139416
"327";"MarchmontGarden";"MarchmontGarden2";"MC201";305;"English";0;"22.03.2019 11:24";"22.03.2019 11:34";51525111;-124866;4;3;5;2;"0,159";"0,0732";1;3;4;1;5;3;1;1;2;4;3;4;4;1;0;0;0;1;8;29;"Female";1;0;0;0;0;0;NA;"Employed";5;7;"Latin-American";"Greenwich";NA;NA;NA;"Very busy";4;1;1;1;0;0;0;"Estimated Start Time";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"328";"MarchmontGarden";"MarchmontGarden2";"MC202";301;"English";0;"22.03.2019 11:27";"22.03.2019 11:37";51525111;-124866;3;1;3;2;"0,3232";"0,0732";2;1;3;3;2;1;3;1;3;2;3;2;3;3;2;3;3;4;60;NA;"Female";0;0;1;0;0;0;NA;"Retired";7;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"329";"MarchmontGarden";"MarchmontGarden2";"MC203";306;"English";0;"22.03.2019 11:31";"22.03.2019 11:41";51525111;-124866;2;1;1;3;"0,9268";"-0,0732";5;1;4;4;5;1;4;1;5;5;3;1;5;2;2;2;3;3;48;64;"Female";1;0;0;0;0;0;NA;"Employed";7;1;NA;"Queen's Uni in Canada";NA;NA;NA;"I think it is very important to have a place of calm with nature";4;1;1;1;0;0;0;"Estimated Start Time";1;3921;977;"1,98";162;"0,0262";"0,0262";"0,00816";"0,39";"0,0413";78;5272;"2,47";"18,15";"14,17";127;9932472909
"330";"MarchmontGarden";"MarchmontGarden2";"MC204";302;"English";0;"22.03.2019 11:37";"22.03.2019 11:45";51525111;-124866;2;2;3;2;"0,1036";"0,2929";2;4;4;3;2;1;3;2;4;4;3;5;5;4;2;4;3;5;72;29;"Male";1;0;0;0;0;0;NA;"Employed";3;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;NA;0;3099;134;"4,6";162;"0,0255";"0,0255";"0,00836";"0,337";"0,0674";7801;546;"7,11";"14,09";"8,91";113;1359286724
"331";"MarchmontGarden";"MarchmontGarden2";"MC205";307;"English";0;"22.03.2019 11:40";"22.03.2019 11:50";51525111;-124866;3;3;3;1;"0,5303";"-0,1768";4;2;2;4;4;1;3;1;4;4;2;5;5;4;4;4;4;4;80;70;"Male";0;0;1;0;0;0;NA;"Retired";NA;1;NA;NA;NA;NA;NA;NA;4;1;1;1;0;0;0;"Estimated Start Time";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
